PathfinderMode: 0
LeftPercent,RightPercent,LeftEncoder,RightEncoder,Gyro,X,Y,HeadingError
0.447629,0.7994,-7731,-14464,11.3248,-0.227721,1.54397,0.138765
0.475687,0.831138,-7706,-14421,12.0906,-0.212466,1.54723,0.125921
0.503651,0.861252,-7680,-14377,12.861,-0.196581,1.55086,0.111791
0.531489,0.889421,-7652,-14331,13.6321,-0.180096,1.55486,0.0959118
0.558645,0.91521,-7623,-14284,14.4002,-0.163053,1.55923,0.0787265
0.58549,0.939123,-7593,-14236,15.1621,-0.145486,1.56399,0.0607177
0.611926,0.961201,-7561,-14186,15.9145,-0.127426,1.56914,0.0423868
0.637383,0.981019,-7528,-14135,16.6548,-0.108916,1.57468,0.024239
0.662228,0.999087,-7494,-14083,17.3805,-0.0899888,1.58061,0.00677031
0.68636,1.01545,-7458,-14031,18.0895,-0.0706768,1.58691,-0.00954274
0.709216,1.03061,-7421,-13978,18.7819,-0.0510128,1.5936,-0.0242511
0.731227,1.04407,-7383,-13924,19.4558,-0.0310295,1.60066,-0.0389534
0.752297,1.05588,-7344,-13870,20.1099,-0.0107595,1.60808,-0.0530106
0.77233,1.06654,-7304,-13815,20.7437,0.0097699,1.61586,-0.0658567
0.791271,1.07558,-7263,-13760,21.3562,0.0305261,1.62397,-0.0780025
0.809032,1.08349,-7221,-13704,21.9475,0.0514817,1.63242,-0.0888871
0.825564,1.08981,-7178,-13648,22.5167,0.0726043,1.64117,-0.0990347
0.840789,1.09501,-7135,-13592,23.0644,0.0938666,1.65023,-0.107904
0.855131,1.09908,-7091,-13535,23.5899,0.115246,1.65956,-0.116041
0.868052,1.10157,-7046,-13478,24.093,0.136711,1.66916,-0.122928
0.879486,1.10294,-7001,-13421,24.5744,0.158234,1.679,-0.128131
0.88987,1.10318,-6955,-13364,25.0339,0.179792,1.68907,-0.132292
0.898676,1.10228,-6909,-13307,25.4726,0.201357,1.69935,-0.134981
0.906347,1.10022,-6862,-13250,25.8902,0.222907,1.70981,-0.136849
0.912359,1.09698,-6815,-13193,26.2879,0.244414,1.72043,-0.137471
0.917157,1.09253,-6768,-13137,26.6658,0.265854,1.7312,-0.137503
0.921257,1.08803,-6720,-13081,27.025,0.287221,1.7421,-0.136298
0.924768,1.08364,-6672,-13025,27.3673,0.308514,1.75312,-0.134377
0.928189,1.07935,-6624,-12969,27.6929,0.329735,1.76426,-0.132472
0.931516,1.07515,-6576,-12914,28.0024,0.350886,1.7755,-0.130226
0.93475,1.07151,-6528,-12859,28.297,0.371975,1.78686,-0.127346
0.937919,1.06793,-6480,-12804,28.5771,0.393003,1.79831,-0.124593
0.941021,1.06442,-6431,-12749,28.8429,0.413974,1.80986,-0.121639
